rankcard_idpriority_scorecolumntypetitlesource_pathreasons
1	KANBAN-SEED-0017	58	VALIDATION	VALIDATION	VALIDATION: e06-close-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e06-close-validation-report.json	VALIDATION: mejora fiabilidad
2	KANBAN-SEED-0018	58	VALIDATION	VALIDATION	VALIDATION: modular-baseline-validation-report.json	C:\ENGREMIAT_CORE\reports\core-consolidation-205\modular-baseline-validation-report.json	VALIDATION: mejora fiabilidad
3	KANBAN-SEED-0019	58	VALIDATION	VALIDATION	VALIDATION: state-module-validation-report.json	C:\ENGREMIAT_CORE\reports\core-consolidation-206\state-module-validation-report.json	VALIDATION: mejora fiabilidad
4	KANBAN-SEED-0014	58	VALIDATION	VALIDATION	VALIDATION: e03-gate-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e03-gate-validation-report.json	VALIDATION: mejora fiabilidad
5	KANBAN-SEED-0015	58	VALIDATION	VALIDATION	VALIDATION: e04-simulation-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e04-simulation-validation-report.json	VALIDATION: mejora fiabilidad
6	KANBAN-SEED-0016	58	VALIDATION	VALIDATION	VALIDATION: e05-remote-ollama-prepared-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e05-remote-ollama-prepared-validation-report.json	VALIDATION: mejora fiabilidad
7	KANBAN-SEED-0023	58	VALIDATION	VALIDATION	VALIDATION: assisted-task-builder-validation-report.json	C:\ENGREMIAT_CORE\reports\dev-assisted-worker\e01-agent-task-package\assisted-task-builder-validation-report.json	VALIDATION: mejora fiabilidad
8	KANBAN-SEED-0024	58	VALIDATION	VALIDATION	VALIDATION: assisted-worker-prompt-validation-report.json	C:\ENGREMIAT_CORE\reports\dev-assisted-worker\e01-agent-task-package\assisted-worker-prompt-validation-report.json	VALIDATION: mejora fiabilidad
9	KANBAN-SEED-0025	58	VALIDATION	VALIDATION	VALIDATION: assisted-handoff-validation-report.json	C:\ENGREMIAT_CORE\reports\dev-assisted-worker\e02-controlled-handoff\assisted-handoff-validation-report.json	VALIDATION: mejora fiabilidad
10	KANBAN-SEED-0020	58	VALIDATION	VALIDATION	VALIDATION: decision-shortcuts-validation-report.json	C:\ENGREMIAT_CORE\reports\decision-shortcuts-088\decision-shortcuts-validation-report.json	VALIDATION: mejora fiabilidad
11	KANBAN-SEED-0021	58	VALIDATION	VALIDATION	VALIDATION: assisted-worker-contract-validation-report.json	C:\ENGREMIAT_CORE\reports\dev-assisted-worker\e00-contract\assisted-worker-contract-validation-report.json	VALIDATION: mejora fiabilidad
12	KANBAN-SEED-0022	58	VALIDATION	VALIDATION	VALIDATION: assisted-worker-modes-validation-report.json	C:\ENGREMIAT_CORE\reports\dev-assisted-worker\e00-contract\assisted-worker-modes-validation-report.json	VALIDATION: mejora fiabilidad
13	KANBAN-SEED-0013	58	VALIDATION	VALIDATION	VALIDATION: e02-cline-dry-run-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e02-cline-dry-run-validation-report.json	VALIDATION: mejora fiabilidad
14	KANBAN-SEED-0004	58	VALIDATION	VALIDATION	VALIDATION: e06-close-validation-report.json	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-close-validation-report.json	VALIDATION: mejora fiabilidad
15	KANBAN-SEED-0005	58	VALIDATION	VALIDATION	VALIDATION: e06-proposal-decision-validation-report.json	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-proposal-decision-validation-report.json	VALIDATION: mejora fiabilidad
16	KANBAN-SEED-0006	58	VALIDATION	VALIDATION	VALIDATION: e02-gate-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-action-from-proposal-015\e02-gate-validation-report.json	VALIDATION: mejora fiabilidad
17	KANBAN-SEED-0001	58	VALIDATION	VALIDATION	VALIDATION: e01-contract-validation-report.json	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e01-contract-validation-report.json	VALIDATION: mejora fiabilidad
18	KANBAN-SEED-0002	58	VALIDATION	VALIDATION	VALIDATION: e02-kanban-source-validation-report.json	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e02-kanban-source-validation-report.json	VALIDATION: mejora fiabilidad
19	KANBAN-SEED-0003	58	VALIDATION	VALIDATION	VALIDATION: e04-task-creation-validation-report.json	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e04-task-creation-validation-report.json	VALIDATION: mejora fiabilidad
20	KANBAN-SEED-0010	58	VALIDATION	VALIDATION	VALIDATION: e02-gate-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-apply-or-repair-014\e02-gate-validation-report.json	VALIDATION: mejora fiabilidad
21	KANBAN-SEED-0011	58	VALIDATION	VALIDATION	VALIDATION: e05-close-validation-report.json	C:\ENGREMIAT_CORE\reports\controlled-apply-or-repair-014\e05-close-validation-report.json	VALIDATION: mejora fiabilidad
