card_idtitletypecolumnsource_pathtarget_status
KANBAN-SEED-0001	VALIDATION: e01-contract-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e01-contract-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0002	VALIDATION: e02-kanban-source-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e02-kanban-source-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0003	VALIDATION: e04-task-creation-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e04-task-creation-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0004	VALIDATION: e06-close-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-close-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0005	VALIDATION: e06-proposal-decision-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-proposal-decision-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0006	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-from-proposal-015\e02-gate-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0007	VALIDATION: e05-close-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-from-proposal-015\e05-close-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0008	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-replication-016\e02-gate-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0009	VALIDATION: e02-generator-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-template-017\e02-generator-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
KANBAN-SEED-0010	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-apply-or-repair-014\e02-gate-validation-report.json	PREVIEW_ONLY_NO_EXTERNAL_WRITE
