card_idtitletypecolumnstatusreadinesssource_kindsource_pathnext
KANBAN-SEED-0001	VALIDATION: e01-contract-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e01-contract-validation-report.json	E02_SELECT_KANBAN_CANDIDATE_AND_PROMPT_PREVIEW
KANBAN-SEED-0002	VALIDATION: e02-kanban-source-validation-report.json	VALIDATION	VALIDATION			VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e02-kanban-source-validation-report.json	CREATE_TASK_CANDIDATE_AND_PROMPT_PREVIEW
KANBAN-SEED-0003	VALIDATION: e04-task-creation-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e04-task-creation-validation-report.json	WAIT_FOR_EXPLICIT_AUTHORIZATION_OR_CLOSE_NO_GO
KANBAN-SEED-0004	VALIDATION: e06-close-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-close-validation-report.json	NEXT_OBJECTIVE_WAIT_OR_RETRY_CLINE_REAL_PROPOSAL
KANBAN-SEED-0005	VALIDATION: e06-proposal-decision-validation-report.json	VALIDATION	VALIDATION			VALIDATION	C:\ENGREMIAT_CORE\reports\cline-real-proposal-no-apply\e06-proposal-decision-validation-report.json	CREATE_MANIFEST_AND_CLOSE_REPORT
KANBAN-SEED-0006	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-from-proposal-015\e02-gate-validation-report.json	E03_DRY_RUN_CONTROLLED
KANBAN-SEED-0007	VALIDATION: e05-close-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-from-proposal-015\e05-close-validation-report.json	NEXT_OBJECTIVE_AFTER_CONTROLLED_ACTION_FROM_PROPOSAL
KANBAN-SEED-0008	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-replication-016\e02-gate-validation-report.json	E03_DRY_RUN_CONTROLLED
KANBAN-SEED-0009	VALIDATION: e02-generator-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-action-template-017\e02-generator-validation-report.json	E03_GATE_HUMANO_ESTANDAR
KANBAN-SEED-0010	VALIDATION: e02-gate-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-apply-or-repair-014\e02-gate-validation-report.json	E03_DRY_RUN_CONTROLLED
KANBAN-SEED-0011	VALIDATION: e05-close-validation-report.json	VALIDATION	VALIDATION		100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-apply-or-repair-014\e05-close-validation-report.json	NEXT_OBJECTIVE_AFTER_CONTROLLED_APPLY_OR_REPAIR
KANBAN-SEED-0012	VALIDATION: e01-contract-validation-report.json	VALIDATION	VALIDATION	E01_WORKER_ADAPTER_CONTRACT_READY	100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e01-contract-validation-report.json	E02_ADAPTER_CLINE_CLI_DRY_RUN
KANBAN-SEED-0013	VALIDATION: e02-cline-dry-run-validation-report.json	VALIDATION	VALIDATION	E02_CLINE_ADAPTER_DRY_RUN_READY	100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e02-cline-dry-run-validation-report.json	E03_GATE_HUMANO_DE_EJECUCION_CONTROLADA
KANBAN-SEED-0014	VALIDATION: e03-gate-validation-report.json	VALIDATION	VALIDATION	E03_HUMAN_GATE_DEFAULT_DENY_READY	100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e03-gate-validation-report.json	E04_EJECUCION_SIMULADA_Y_RECEIPT
KANBAN-SEED-0015	VALIDATION: e04-simulation-validation-report.json	VALIDATION	VALIDATION	E04_WORKER_SIMULATION_AND_RECEIPT_READY	100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e04-simulation-validation-report.json	E05_PREPARAR_OLLAMA_REMOTO_MAIN_PC
KANBAN-SEED-0016	VALIDATION: e05-remote-ollama-prepared-validation-report.json	VALIDATION	VALIDATION	E05_REMOTE_OLLAMA_PREPARED_DEFERRED_READY	100	VALIDATION	C:\ENGREMIAT_CORE\reports\controlled-worker-adapters\e05-remote-ollama-prepared-validation-report.json	E06_CIERRE_ADAPTERS_CONTROLADOS
